Time,Amplitude,Heart_Rate,SPO2,Blood_Pressure,Temperature
0.28,0.08,147,93.9,136/74,36.7
0.284,0.025,114,88.5,120/71,36.9
0.288,0.05,171,89.9,125/80,36.5
0.292,0.05,177,94.1,109/82,36.3
0.296,0.045,161,95.5,134/82,36.9
0.3,0.05,139,89.9,117/70,37.0
0.304,0.05,179,91.3,112/70,36.7
0.308,0.085,152,94.9,125/74,36.3
0.312,0.075,123,93.8,133/70,37.1
0.316,0.1,125,90.6,133/76,36.1
0.32,0.1,159,89.3,125/84,37.1
0.324,0.09,140,94.1,124/89,36.9
0.328,0.125,128,90.8,122/80,36.6
0.332,0.155,114,88.5,114/86,36.2
0.336,0.185,144,95.1,115/85,36.6
0.34,0.175,164,91.5,121/73,37.0
0.344,0.155,170,93.6,130/72,36.9
0.348,0.155,108,92.5,119/81,37.3
0.352,0.15,100,89.8,112/81,36.1
0.356,0.09,107,88.2,116/79,37.1
0.36,0.06,162,90.6,113/70,37.4
0.364,0.095,110,91.4,105/75,36.2
0.368,0.13,107,88.4,112/79,36.7
0.372,0.165,134,91.0,112/73,36.8
0.376,0.14,134,90.5,106/71,37.3
0.38,0.115,132,93.4,122/82,37.3
0.384,0.09,104,89.0,120/81,37.1
0.388,0.08,140,88.7,136/80,36.5
0.392,0.07,127,89.2,138/72,37.1
0.396,0.055,106,91.9,111/85,37.0
0.4,0.07,172,92.7,106/72,36.1
0.404,0.1,171,93.0,131/89,37.1
0.408,0.13,111,95.9,113/79,36.6
0.412,0.09,133,91.2,105/83,36.1
0.416,0.065,132,94.6,118/81,36.8
0.42,0.015,147,89.5,115/71,36.9
0.424,-0.005,122,92.9,122/78,37.4
0.428,0.025,161,90.1,135/73,36.4
0.432,0.01,136,95.5,100/85,37.1
0.436,0.02,143,88.9,136/82,36.2
0.44,0.04,134,88.9,105/74,36.7
0.444,0.045,164,95.5,119/84,37.5
0.448,0.025,146,94.8,106/76,37.3
0.452,0.015,177,90.9,106/77,36.9
0.456,0.015,102,94.6,133/75,37.4
0.46,0.035,100,90.3,133/84,37.3
0.464,0.06,104,91.4,119/89,36.4
0.468,0.08,113,90.3,104/74,37.1
0.472,0.085,126,91.6,129/82,36.5
0.476,0.08,108,91.9,115/87,36.5
0.48,0.1,178,88.3,105/72,36.9
0.484,0.065,114,93.4,127/78,36.7
0.488,0.025,141,93.6,112/87,36.5
0.492,0.055,176,93.8,118/79,37.3
0.496,0.065,150,88.8,128/89,36.7
0.5,0.04,162,95.8,118/80,37.3
0.504,-0.005,151,91.0,127/77,36.4
0.508,-0.01,103,92.0,112/81,36.7
0.512,0.015,122,91.1,111/78,37.4
0.516,0.0,114,93.0,106/88,36.9
0.52,-0.03,142,91.2,132/76,36.4
0.524,0.005,128,95.1,111/80,36.6
0.528,0.02,135,91.2,133/72,36.2
0.532,0.015,112,92.3,133/76,37.0
0.536,0.025,131,91.4,121/70,37.0
0.54,0.025,170,90.3,129/78,37.0
0.544,0.01,158,88.6,111/72,37.3
0.548,-0.01,127,93.7,133/82,36.7
0.552,0.005,165,88.7,131/77,36.5
0.556,0.0,141,90.4,105/81,36.0
0.56,0.045,144,90.0,116/70,36.9
0.564,0.015,161,94.1,128/87,36.3
0.568,-0.01,156,94.9,128/72,36.9
0.572,0.015,105,95.6,103/79,37.1
0.576,0.005,127,95.9,135/79,37.2
0.58,-0.01,127,88.5,117/76,36.7
0.584,-0.02,143,94.6,132/71,36.2
0.588,-0.01,129,91.6,109/88,37.0
0.592,0.03,161,92.7,119/84,36.9
0.596,0.035,174,90.1,111/80,37.3
0.6,0.035,161,90.6,101/74,36.8
0.604,0.1,100,92.2,128/70,36.9
0.608,0.095,126,95.9,126/84,36.1
0.612,0.095,161,88.3,108/83,37.0
0.616,0.085,176,94.1,136/85,37.5
0.62,0.12,102,89.1,129/88,36.1
0.624,0.11,169,88.9,134/89,37.4
0.628,0.08,171,90.5,105/75,36.2
0.632,0.075,126,94.9,105/83,36.3
0.636,0.115,108,90.4,119/71,36.5
0.64,0.13,161,90.1,119/77,36.1
0.644,0.14,136,92.7,125/71,37.2
0.648,0.135,150,91.0,137/74,37.2
0.652,0.15,143,93.0,125/82,36.6
0.656,0.11,123,88.7,112/77,36.2
0.66,0.115,178,94.7,117/70,37.1
0.664,0.125,158,95.2,110/86,37.1
0.668,0.13,131,89.3,137/89,36.6
0.672,0.085,151,90.1,137/84,36.7
0.676,0.025,161,94.7,129/85,36.4
0.68,-0.005,157,91.2,126/83,37.3
0.684,0.005,151,88.0,128/83,36.9
0.688,-0.025,111,90.8,137/75,37.3
0.692,-0.025,138,88.2,120/75,36.8
0.696,-0.045,101,94.7,100/83,37.3
0.7,-0.075,102,88.5,134/84,37.4
0.704,-0.12,155,90.1,112/72,37.1
0.708,-0.14,158,91.2,120/70,37.4
0.712,-0.16,101,90.7,107/84,36.9
0.716,-0.185,101,95.4,118/71,37.4
0.72,-0.195,153,92.8,121/89,36.3
0.724,-0.19,100,88.3,139/72,36.7
0.728,-0.17,118,91.4,118/77,36.9
0.732,-0.15,101,94.8,108/77,36.3
0.736,-0.17,152,88.3,106/70,36.7
0.74,-0.16,143,93.2,135/74,36.2
0.744,-0.165,131,89.8,111/72,36.1
0.748,-0.185,169,93.2,134/87,36.2
0.752,-0.125,131,94.2,120/81,36.1
0.756,-0.125,167,95.4,128/71,37.3
0.76,-0.1,154,94.9,139/89,37.5
0.764,-0.06,174,94.7,129/89,37.3
0.768,0.035,155,94.0,105/84,37.1
0.772,0.035,116,92.9,104/78,36.8
0.776,0.04,137,93.3,122/74,36.1
0.78,0.02,123,89.9,103/74,37.1
0.784,0.04,168,93.7,102/78,36.5
0.788,0.045,169,88.0,108/78,37.5
0.792,0.055,110,93.5,118/83,36.9
0.796,0.09,115,92.2,129/79,36.4
0.8,0.11,172,92.6,129/78,37.1
0.804,0.1,158,88.5,139/75,37.5
0.808,0.075,169,88.3,118/76,36.7
0.812,0.015,179,88.3,107/81,36.1
0.816,0.06,102,88.8,105/79,36.5
0.82,0.055,119,89.9,103/70,36.7
0.824,0.03,158,92.9,101/82,37.4
0.828,-0.01,135,91.6,123/88,36.6
0.832,-0.005,118,89.2,116/89,36.2
0.836,0.02,166,91.0,108/89,36.3
0.84,-0.005,118,90.0,109/71,37.3
0.844,0.01,119,90.1,106/80,37.0
0.848,0.005,170,90.7,125/75,36.7
0.852,0.01,151,88.6,101/85,36.1
0.856,-0.05,132,95.2,126/84,37.0
0.86,-0.1,139,90.5,101/73,36.8
0.864,-0.125,138,92.4,129/73,36.4
0.868,-0.065,100,92.2,136/86,36.4
0.872,-0.005,110,89.3,138/84,37.2
0.876,-0.085,156,94.4,115/87,36.7
0.88,-0.125,149,93.1,102/86,37.2
0.884,-0.13,122,95.6,117/86,37.3
0.888,-0.13,130,92.2,125/86,37.2
0.892,-0.11,141,90.1,133/71,37.0
0.896,-0.09,106,88.9,102/71,36.9
0.9,-0.08,115,90.8,108/85,37.0
0.904,-0.12,159,92.8,101/84,36.8
0.908,-0.145,101,94.9,102/77,36.5
0.912,-0.135,100,95.0,133/84,36.0
0.916,-0.125,147,91.3,136/81,37.4
0.92,-0.13,111,94.5,120/80,37.4
0.924,-0.125,168,93.9,126/81,37.5
0.928,-0.095,136,92.6,128/76,36.6
0.932,-0.065,131,93.7,118/72,37.4
0.936,-0.08,108,90.4,105/76,37.4
0.94,-0.075,118,88.5,118/88,37.4
0.944,-0.09,147,94.7,136/79,36.4
0.948,-0.06,179,90.3,135/78,37.3
0.952,-0.075,102,90.7,107/88,37.1
0.956,-0.04,119,91.8,128/81,36.5
0.96,-0.03,123,88.7,110/85,36.3
0.964,-0.015,153,90.0,111/71,37.0
0.968,0.025,132,95.9,111/82,36.8
0.972,0.04,123,89.2,100/76,36.2
0.976,0.07,174,90.7,123/88,37.5
0.98,0.065,171,92.3,105/86,36.0
0.984,0.12,135,95.2,100/88,36.8
0.988,0.135,137,91.0,124/79,36.6
0.992,0.08,124,94.3,111/79,37.0
0.996,0.07,117,94.8,131/80,36.4
1.0,0.31,165,92.4,110/81,37.1
1.004,0.83,153,91.5,103/89,37.2
1.008,1.36,134,93.7,135/73,37.3
1.012,1.86,179,94.7,122/76,37.1
1.016,2.445,160,88.8,105/73,36.5
1.02,3.08,140,91.5,128/82,37.3
1.024,3.715,132,89.2,126/71,37.5
1.028,3.91,167,88.1,110/77,36.4
1.032,4.005,132,93.5,103/74,36.4
1.036,3.81,113,91.8,124/82,37.2
1.04,3.17,120,93.5,124/76,36.3
1.044,2.785,147,93.2,124/82,37.2
1.048,2.5,119,89.6,122/89,36.0
1.052,1.86,107,92.3,126/79,37.5
1.056,1.22,106,88.7,122/87,36.4
1.06,0.58,166,95.4,132/78,36.6
1.064,-0.06,116,91.2,126/81,37.4
1.068,-0.7,132,95.3,129/87,36.9
1.072,-1.34,147,95.2,139/77,36.5
1.076,-1.68,175,90.1,109/82,36.4
1.08,-1.335,158,94.5,114/74,36.3
1.084,-1.105,121,88.2,127/70,36.3
1.088,-1.02,129,88.1,105/73,37.3
1.092,-0.895,137,89.4,100/77,36.8
1.096,-0.83,150,94.1,124/71,36.5
1.1,-0.79,153,95.6,129/79,36.6
1.104,-0.795,107,92.5,110/72,37.4
1.108,-0.8,126,91.6,106/78,36.7
1.112,-0.76,126,91.4,123/76,37.0
1.116,-0.725,120,93.1,137/76,36.1
1.12,-0.75,129,88.0,138/84,36.3
1.124,-0.795,127,91.5,104/74,37.4
1.128,-0.795,163,95.6,113/82,37.1
1.132,-0.815,168,91.2,134/87,36.1
1.136,-0.825,160,89.7,131/87,36.9
1.14,-0.83,147,88.8,137/80,37.0
1.144,-0.855,118,89.4,106/88,37.4
1.148,-0.885,103,92.5,119/73,36.7
1.152,-0.91,134,90.7,139/73,36.9
1.156,-0.93,163,88.4,132/71,37.2
1.16,-0.885,148,95.7,113/88,36.0
1.164,-0.905,116,95.0,131/83,37.4
1.168,-0.93,143,90.5,103/82,37.1
1.172,-0.98,129,88.5,105/73,36.4
1.176,-0.975,145,91.8,121/77,36.1
1.18,-0.98,105,93.9,124/78,37.0
1.184,-0.98,136,88.3,117/81,37.1
1.188,-0.99,123,91.1,109/78,36.1
1.192,-0.935,145,95.1,124/87,36.9
1.196,-0.95,152,95.8,120/78,37.0
1.2,-0.96,159,88.6,120/88,36.1
1.204,-0.975,162,93.6,128/74,37.0
1.208,-0.97,131,93.7,130/80,37.0
1.212,-0.97,132,88.8,136/70,36.3
1.216,-1.0,166,94.6,112/71,36.3
1.22,-1.04,117,93.7,128/80,36.6
1.224,-1.045,124,94.4,126/85,36.4
1.228,-1.065,153,91.9,100/88,36.5
1.232,-1.055,157,95.8,100/82,36.8
1.236,-1.03,166,95.1,131/78,36.2
1.24,-1.07,145,90.8,120/86,36.5
1.244,-1.095,123,92.5,136/75,36.9
1.248,-1.14,131,89.8,113/77,36.9
1.252,-1.125,146,92.4,114/72,37.0
1.256,-1.145,122,95.2,105/79,37.3
1.26,-1.175,165,92.6,131/85,37.1
1.264,-1.17,126,90.2,132/89,36.3
1.268,-1.235,101,88.0,106/80,36.0
1.272,-1.275,116,91.3,120/89,37.0
1.276,-1.265,132,93.1,118/79,37.3
1.28,-1.315,108,89.8,113/84,36.0
1.284,-1.36,142,91.2,139/88,36.3
1.288,-1.395,147,93.5,113/88,36.4
1.292,-1.48,138,94.5,136/71,36.9
1.296,-1.52,141,90.5,138/81,37.2
1.3,-1.58,125,89.9,117/79,37.5
1.304,-1.635,149,90.9,137/89,36.0
1.308,-1.675,124,94.8,112/73,37.5
1.312,-1.73,123,91.6,107/84,36.4
1.316,-1.76,112,90.4,104/82,37.2
1.32,-1.755,159,92.8,121/77,36.1
1.324,-1.72,106,88.9,136/89,37.3
1.328,-1.715,156,95.1,120/80,37.2
1.332,-1.745,135,94.5,138/77,37.3
1.336,-1.76,144,88.1,120/81,37.1
1.34,-1.785,119,89.6,125/79,36.2
1.344,-1.775,164,88.7,101/71,37.0
1.348,-1.79,107,89.0,128/82,36.2
1.352,-1.75,115,89.5,113/84,36.6
1.356,-1.685,113,95.8,125/75,37.2
1.36,-1.64,175,89.3,128/76,37.3
1.364,-1.6,114,92.9,132/87,36.3
1.368,-1.61,165,89.5,131/89,37.5
1.372,-1.585,131,94.2,114/76,37.0
1.376,-1.545,162,95.4,100/71,36.5
1.38,-1.485,150,93.3,138/79,37.3
1.384,-1.48,124,93.0,111/73,37.1
1.388,-1.36,157,92.8,112/81,36.5
1.392,-1.325,162,90.8,111/75,36.4
1.396,-1.285,161,89.8,134/86,36.3
1.4,-1.22,121,88.9,103/76,36.0
1.404,-1.17,157,93.4,130/83,36.3
1.408,-1.175,157,90.9,138/85,36.4
1.412,-1.075,148,94.0,109/77,36.9
1.416,-0.98,151,93.7,116/85,37.4
1.42,-0.905,141,89.4,137/78,36.6
1.424,-0.805,169,90.8,102/88,37.2
1.428,-0.725,114,91.7,105/71,36.5
1.432,-0.595,153,93.3,133/88,36.5
1.436,-0.475,159,88.5,114/87,36.5
1.44,-0.45,107,92.0,105/81,37.2
1.444,-0.365,152,88.2,107/76,36.2
1.448,-0.305,159,93.6,131/78,37.3
1.452,-0.285,104,95.7,120/78,37.5
1.456,-0.25,167,89.0,110/88,37.5
1.46,-0.165,105,91.6,109/89,36.4
1.464,-0.115,146,88.8,134/76,37.0
1.468,-0.05,154,95.1,100/78,36.8
1.472,0.015,139,95.4,121/77,37.5
1.476,0.065,151,88.7,119/82,36.2
1.48,0.08,115,92.0,135/82,37.3
1.484,0.11,112,92.8,113/86,36.1
1.488,0.14,129,94.5,102/88,36.2
1.492,0.22,118,92.5,121/83,36.9
1.496,0.255,116,90.4,110/73,36.6
1.5,0.3,162,91.2,106/71,37.1
1.504,0.27,118,95.2,106/88,36.3
1.508,0.32,157,95.0,100/72,37.2
1.512,0.325,154,95.4,116/88,36.3
1.516,0.29,161,95.9,129/85,36.5
1.52,0.31,122,89.7,119/73,36.7
1.524,0.28,108,92.6,104/87,36.4
1.528,0.305,111,91.3,138/73,36.2
1.532,0.32,100,95.5,136/82,36.6
1.536,0.335,157,93.6,135/84,36.7
1.54,0.335,100,95.8,137/76,36.6
1.544,0.335,133,94.2,125/73,36.4
1.548,0.27,147,94.0,128/86,36.7
1.552,0.26,100,93.9,131/86,37.3
1.556,0.26,115,90.5,119/78,36.6
1.56,0.26,160,90.6,136/81,36.4
1.564,0.29,163,89.0,121/70,36.6
1.568,0.305,162,91.2,104/83,36.2
1.572,0.25,168,90.5,126/81,36.6
1.576,0.225,121,94.4,122/88,37.1
1.58,0.24,166,91.5,127/86,36.2
1.584,0.22,175,94.7,116/85,36.8
1.588,0.195,125,93.3,108/82,37.0
1.592,0.185,115,93.0,133/72,36.7
1.596,0.17,150,88.4,110/88,36.2
1.6,0.17,156,91.1,120/87,37.1
1.604,0.14,128,92.4,120/81,37.3
1.608,0.105,177,89.0,116/72,36.5
1.612,0.105,168,92.5,112/86,37.0
1.616,0.06,146,89.8,121/75,37.2
1.62,0.05,161,89.9,138/76,37.2
1.624,0.015,168,89.6,129/70,36.7
1.628,-0.025,175,88.2,106/80,37.2
1.632,-0.075,115,93.4,105/73,37.3
1.636,-0.035,147,92.8,119/79,36.1
1.64,-0.06,138,93.4,108/85,36.4
1.644,-0.08,132,94.7,102/77,36.4
1.648,-0.095,122,92.1,105/85,37.4
1.652,-0.11,109,95.0,126/89,36.4
1.656,-0.125,168,89.8,135/73,36.2
1.66,-0.135,133,90.0,125/88,36.2
1.664,-0.11,151,90.4,118/75,36.4
1.668,-0.095,109,94.6,133/78,36.2
1.672,-0.075,118,89.8,108/75,37.4
1.676,-0.105,157,94.8,134/75,37.1
1.68,-0.09,100,95.2,131/86,36.0
1.684,-0.08,168,91.8,131/71,36.5
1.688,-0.05,103,89.5,100/70,36.2
1.692,-0.06,115,88.5,124/81,36.8
1.696,-0.07,123,93.1,131/72,36.6
1.7,-0.07,179,90.3,106/77,36.3
1.704,-0.045,101,95.6,104/74,36.3
1.708,0.005,131,91.1,135/82,36.1
1.712,-0.01,123,92.4,117/82,36.9
1.716,-0.03,111,88.8,109/87,36.2
1.72,-0.045,149,94.7,132/87,36.4
1.724,-0.01,134,95.5,126/75,36.6
1.728,-0.065,132,90.9,130/84,37.4
1.732,-0.135,132,89.7,108/80,36.7
1.736,-0.1,160,94.8,122/81,36.1
1.74,-0.08,150,88.9,105/87,36.2
1.744,-0.025,142,88.8,106/85,36.1
1.748,-0.025,111,93.5,101/83,37.3
1.752,-0.07,166,96.0,129/82,37.2
1.756,-0.035,164,95.4,114/70,37.2
1.76,-0.05,132,92.2,109/81,36.1
1.764,-0.05,139,92.6,109/77,37.3
1.768,-0.07,173,90.1,108/74,37.1
1.772,-0.085,142,91.0,103/73,37.2
1.776,-0.11,143,88.4,135/83,36.5
1.78,-0.185,128,89.4,109/83,37.3
1.784,-0.19,112,88.3,109/78,37.4
1.788,-0.2,111,92.1,112/87,36.1
1.792,-0.195,145,94.2,135/81,36.1
1.796,-0.2,101,92.3,122/84,36.0
1.8,-0.24,134,94.2,109/88,36.3
1.804,-0.27,107,93.1,125/87,36.1
1.808,-0.235,125,90.2,135/87,37.4
1.812,-0.19,173,91.6,106/80,37.4
1.816,-0.19,133,89.2,137/73,36.5
1.82,-0.175,106,93.0,113/84,36.1
1.824,-0.14,167,94.1,116/86,36.0
1.828,-0.135,157,89.1,122/76,37.0
1.832,-0.14,174,92.9,117/78,37.2
1.836,-0.17,128,88.7,119/88,37.2
1.84,-0.145,135,92.6,103/71,36.7
1.844,-0.13,120,94.7,104/76,36.7
1.848,-0.12,135,92.4,105/84,36.3
1.852,-0.11,109,93.3,139/86,37.3
1.856,-0.105,172,88.6,136/88,36.7
1.86,-0.1,123,93.5,123/83,37.2
1.864,-0.1,163,88.7,122/71,36.6
1.868,-0.13,148,94.9,132/77,36.8
1.872,-0.17,135,89.1,102/84,36.8
1.876,-0.2,123,91.5,132/78,37.4
1.88,-0.185,122,93.4,100/81,36.7
1.884,-0.155,161,92.1,108/87,36.6
1.888,-0.11,136,92.1,104/79,36.9
1.892,-0.11,111,90.4,131/88,37.2
1.896,-0.105,154,95.3,125/77,36.0
1.9,-0.105,112,89.5,129/86,36.1
1.904,-0.1,122,89.6,127/86,36.2
1.908,-0.1,129,91.2,121/88,36.3
1.912,-0.08,116,93.4,127/81,36.3
1.916,-0.055,161,90.9,104/76,36.1
1.92,-0.045,112,95.3,115/79,36.7
1.924,-0.015,158,92.9,139/89,36.5
1.928,-0.025,118,90.0,124/72,36.9
1.932,-0.01,148,93.5,105/83,36.7
1.936,-0.065,111,95.0,128/74,36.5
1.94,-0.075,160,96.0,128/72,37.3
1.944,-0.09,118,94.4,133/78,37.3
1.948,-0.13,175,95.4,129/86,36.8
1.952,-0.13,108,89.2,126/74,36.4
1.956,-0.13,170,91.6,135/76,36.1
1.96,-0.11,127,93.1,118/75,36.2
1.964,-0.09,177,93.7,132/87,36.9
1.968,-0.1,151,94.5,129/77,36.3
1.972,-0.08,115,89.4,131/78,36.4
1.976,-0.06,168,88.3,124/70,36.6
1.98,-0.085,111,95.3,124/81,37.3
1.984,-0.08,124,95.1,133/71,37.0
1.988,-0.075,151,93.1,130/82,36.4
1.992,-0.055,152,94.8,118/81,37.4
1.996,-0.09,122,95.2,106/74,36.2
2.0,-0.06,115,93.5,128/73,36.6
2.004,-0.075,156,88.7,105/87,36.2
2.008,-0.04,138,89.1,117/86,36.3
2.012,-0.05,152,94.1,121/83,36.1
2.016,-0.06,141,90.3,135/84,36.3
2.02,-0.04,157,88.2,134/87,37.1
2.024,-0.025,138,94.4,125/88,36.1
2.028,0.0,113,88.5,106/86,36.7
2.032,0.02,104,90.0,104/78,36.7
2.036,0.045,134,94.4,129/72,37.2
2.04,0.03,174,95.3,120/89,36.7
2.044,-0.01,117,95.5,131/72,37.2
2.048,0.005,175,95.0,105/72,37.2
2.052,0.035,108,90.4,105/76,36.5
2.056,0.015,173,95.5,107/85,36.1
2.06,-0.01,157,91.5,114/74,36.4
2.064,-0.03,116,92.0,128/77,36.4
2.068,0.02,106,91.7,132/83,36.6
2.072,0.08,145,93.9,113/85,37.5
2.076,0.105,112,95.4,119/83,37.0
2.08,0.105,139,93.4,110/84,37.2
2.084,0.12,141,95.5,100/86,36.2
2.088,0.07,108,92.1,115/89,36.6
2.092,0.065,149,91.1,115/71,37.0
2.096,0.11,126,88.7,118/73,37.1
2.1,0.09,165,91.5,126/82,36.0
2.104,0.09,104,96.0,103/77,36.1
2.108,0.09,128,90.0,121/83,36.5
2.112,0.095,136,94.1,122/87,36.8
2.116,0.12,137,88.2,132/71,37.4
2.12,0.105,107,94.8,105/88,36.2
2.124,0.11,164,94.1,101/85,36.4
2.128,0.115,116,91.7,103/76,36.7
2.132,0.095,170,89.3,137/79,36.6
2.136,0.095,144,89.3,135/70,37.4
2.14,0.1,103,90.1,126/86,36.9
2.144,0.04,135,89.1,132/74,37.4
2.148,0.04,169,91.9,106/83,37.1
2.152,0.08,130,93.5,117/81,36.7
2.156,0.07,118,90.9,121/81,36.5
2.16,0.06,160,92.3,118/72,36.7
2.164,0.085,153,88.9,138/80,36.7
2.168,0.085,138,95.6,106/71,36.8
2.172,0.05,173,91.6,129/86,36.8
2.176,0.11,118,93.4,137/72,36.3
2.18,0.08,138,93.1,121/84,37.4
2.184,0.115,166,94.5,104/81,36.9
2.188,0.08,144,93.2,101/70,37.2
2.192,0.095,112,95.0,124/73,36.2
2.196,0.06,157,94.7,106/86,36.8
2.2,0.02,119,92.6,112/73,36.7
2.204,0.04,171,90.7,117/70,36.2
2.208,0.07,160,92.1,128/86,36.4
2.212,0.02,138,94.7,136/77,37.2
2.216,0.02,100,91.4,130/76,37.3
2.22,0.045,102,92.9,126/80,36.5
2.224,0.04,176,89.7,113/80,36.6
2.228,0.005,161,94.6,123/86,36.4
2.232,0.015,162,88.5,117/81,37.0
2.236,0.005,124,91.3,108/76,37.2
2.24,0.02,155,93.1,128/79,37.0
2.244,0.04,132,88.5,105/87,37.1
2.248,0.05,137,92.4,116/84,37.4
2.252,0.045,105,96.0,112/75,36.6
2.256,0.08,157,95.0,121/74,36.9
2.26,0.1,143,94.2,114/77,37.2
2.264,0.105,144,91.0,137/89,37.0
2.268,0.085,131,93.3,125/87,37.0
2.272,0.08,144,90.0,136/87,36.3
2.276,0.065,160,94.9,133/89,37.1
2.28,0.06,146,90.7,100/77,36.9
2.284,0.02,120,89.8,128/76,36.5
2.288,0.03,179,89.0,119/72,37.0
2.292,0.065,174,94.0,133/74,37.5
2.296,0.055,135,93.3,115/87,37.0
2.3,0.04,118,90.8,117/88,36.8
2.304,0.07,119,90.5,121/73,36.2
2.308,0.09,156,92.3,108/83,37.0
2.312,0.115,117,88.4,126/77,36.1
2.316,0.1,146,91.8,138/79,36.7
2.32,0.09,148,89.6,126/78,36.8
2.324,0.09,113,88.5,114/71,37.5
2.328,0.085,114,88.3,108/85,36.8
2.332,0.065,130,94.3,105/82,37.3
2.336,0.06,100,94.8,108/87,36.9
2.34,0.08,153,91.6,129/77,36.2
2.344,0.075,102,91.6,133/74,36.2
2.348,0.08,115,94.9,125/70,37.5
2.352,0.07,156,90.3,126/87,36.1
2.356,0.08,174,93.3,135/81,36.4
2.36,0.04,111,88.3,127/70,36.4
2.364,0.05,173,95.3,122/79,37.3
2.368,0.04,115,88.5,106/76,37.1
2.372,0.04,171,94.6,131/84,36.4
2.376,0.055,175,92.6,110/86,36.9
2.38,0.075,123,88.9,139/86,36.6
2.384,0.085,127,92.3,133/82,36.4
2.388,0.065,107,90.0,102/88,36.1
2.392,0.035,135,94.3,123/71,37.4
2.396,0.015,107,89.7,100/86,37.5
2.4,0.025,157,93.8,114/85,36.4
2.404,0.02,159,92.7,110/81,36.9
2.408,0.045,149,92.9,117/84,37.4
2.412,0.04,127,93.9,136/84,36.3
2.416,0.01,140,94.0,101/86,36.9
2.42,0.025,163,95.1,105/75,37.2
2.424,0.015,126,94.9,126/80,37.3
2.428,0.03,162,88.6,118/80,36.4
2.432,0.035,116,90.5,106/87,36.3
2.436,0.04,172,89.2,135/76,36.3
2.44,0.05,132,88.3,136/73,37.2
2.444,0.02,176,93.0,129/81,36.0
2.448,0.025,128,94.1,130/84,36.2
2.452,0.06,112,93.5,119/78,36.8
2.456,0.02,145,89.6,100/83,37.0
2.46,0.01,134,90.7,104/73,37.5
2.464,-0.045,105,89.1,127/71,36.0
2.468,-0.015,168,94.3,133/84,36.4
2.472,-0.01,146,89.6,123/80,36.7
2.476,0.005,124,92.6,133/80,37.0
